step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
255,500,27.555691,27.555691,1.092327,0.000000,23.581844,1024.000000,0.000000,0.000000,11.926311,
256,500,27.015482,27.015482,1.129801,0.000000,23.574528,1024.000000,0.000000,0.000000,11.925743,
257,500,27.584175,27.584175,0.693946,0.000000,23.605226,1024.000000,0.000000,0.000000,11.925620,
258,500,27.020643,27.020643,0.476527,0.000000,23.343623,1024.000000,0.000000,0.000000,11.925993,
259,500,27.222595,27.222595,0.830472,0.000000,21.551907,1024.000000,0.000000,0.000000,11.925783,
260,500,26.588720,26.588720,2.785112,0.000000,23.536419,1024.000000,0.000000,0.000000,11.925740,
261,500,26.797007,26.797007,0.868483,0.000000,23.540552,1024.000000,0.000000,0.000000,11.925063,
262,500,26.361319,26.361319,0.364201,0.000000,23.457553,1024.000000,0.000000,0.000000,11.925278,
263,500,27.089977,27.089977,0.587568,0.000000,23.395509,1024.000000,0.000000,0.000000,11.926208,
264,500,27.254425,27.254425,1.737645,0.000000,23.477752,1024.000000,0.000000,0.000000,11.926314,
265,500,27.925879,27.925879,1.098377,0.000000,23.431226,1024.000000,0.000000,0.000000,11.925984,
